Season,Team,League,GP,G,A,TP,PIM,PlusMinus,PlayerID
1999-00,Mississauga IceDogs,OHL,66,21,25,46,46,-69,8096
1999-00,Chicoutimi Saguenéens,QMJHL,69,8,15,23,18,,10884
1999-00,North Bay Centennials,OHL,58,5,25,30,64,-18,17937
1999-00,Jokerit U18,Jr. B SM-sarja,14,6,6,12,14,,3185
1999-00,Jokerit U20,Jr. A SM-liiga,27,3,3,6,12,,3185
1999-00,Finland U18,WJC-18,7,1,1,2,6,0,3185
1999-00,HC Slovan Bratislava,Slovakia,52,21,24,45,38,64,8592
1999-00,Slovakia,WC,9,0,6,6,2,3,8592
1999-00,HC Slovan Bratislava,Euro HL,6,1,1,2,0,5,8592
1999-00,Univ. of Wisconsin,NCAA,41,6,11,17,40,,11569
1999-00,Sarnia Sting,OHL,45,8,20,28,62,-2,17798
1999-00,Springfield Falcons,AHL,2,0,1,1,0,0,17798
1999-00,Fargo-Moorhead Ice Sharks,USHL,50,5,11,16,106,,34272
1999-00,Khimik Voskresensk,Russia2,15,0,0,0,31,,11517
1999-00,Khimik Voskresensk-2,Russia3,9,1,0,1,16,,11517
1999-00,CSKA Moskva-2,Russia2,11,0,1,1,10,,11517
1999-00,Rimouski Océanic,QMJHL,72,36,53,89,38,39,8946
1999-00,Rimouski Océanic,M-Cup,4,1,2,3,2,,8946
1999-00,Lethbridge Hurricanes,WHL,51,1,6,7,112,-3,15899
1999-00,MoDo Hockey J18,J18 Allsvenskan,1,0,1,1,2,,807
1999-00,MoDo Hockey J20,SuperElit,35,7,10,17,75,,807
1999-00,Sweden U18,WJC-18,6,0,1,1,2,2,807
1999-00,Sweden U18 (all),International-Jr,17,4,1,5,10,,807
1999-00,Dynamo Moskva-2,Russia3,5,0,3,3,16,,50296
1999-00,THK Tver,Russia2,16,4,2,6,63,,50296
1999-00,Salavat Yulaev Ufa,Russia,13,1,2,3,4,,19122
1999-00,Salavat Yulaev Ufa-2,Russia3,18,3,4,7,10,,19122
1999-00,Russia U18,WJC-18,6,0,1,1,4,2,19122
1999-00,Des Moines Buccaneers,USHL,53,36,30,66,95,,12877
1999-00,Brampton Battalion,OHL,57,17,20,37,24,-5,60793
1999-00,Blaine High,USHS-MN,21,23,30,53,28,,11554
1999-00,Avangard Omsk,Russia,37,19,24,43,58,,9179
1999-00,Russia,WC,6,3,1,4,0,3,9179
1999-00,Avangard Omsk,Continental Cup,3,1,4,5,0,,9179
1999-00,HC Davos,NLA,40,15,23,38,20,,1797
1999-00,Finland,WC,9,2,4,6,0,7,1797
1999-00,HC Slovan Bratislava,Slovakia,40,4,11,15,63,,12210
1999-00,Slovakia,WC,9,0,1,1,14,-4,12210
1999-00,HC Slovan Bratislava,Euro HL,2,0,0,0,2,-1,12210
1999-00,Barrie Colts,OHL,58,34,53,87,203,32,60843
1999-00,Barrie Colts,M-Cup,5,1,1,2,13,,60843
1999-00,Torpedo Nizhny Novgorod,Russia,36,14,6,20,50,,18844
1999-00,Kazakhstan,WC B,7,6,4,10,16,7,18844
1999-00,Colorado College,NCAA,32,2,5,7,26,,11734
1999-00,USA U20,WJC-20,7,0,0,0,2,0,11734
1999-00,Sarnia Sting,OHL,55,5,10,15,24,8,60902
1999-00,CSKA Moskva,Russia,1,0,0,0,0,,19565
1999-00,Dynamo Moskva,Russia,6,2,1,3,2,,19565
1999-00,THK Tver,Russia2,6,0,0,0,4,,19565
1999-00,Amur Khabarovsk,Russia,14,3,6,9,10,,19565
1999-00,Dynamo Moskva,Euro HL,2,0,0,0,0,1,19565
1999-00,Chilliwack Chiefs,BCHL,59,35,75,110,97,,12617
1999-00,Calgary Hitmen,WHL,61,3,15,18,59,32,22615
1999-00,Rouyn-Noranda Huskies,QMJHL,27,8,16,24,64,-10,24736
1999-00,Hull Olympiques,QMJHL,31,11,27,38,67,15,24736
1999-00,Neftekhimik Nizhnekamsk,Russia,29,2,5,7,14,,44320
1999-00,Ak Bars Kazan,Russia,8,0,1,1,2,,44320
1999-00,Russia U20,WJC-20,7,1,2,3,4,9,44320
1999-00,Walpole Stars,EJHL,42,19,40,59,54,,11730
1999-00,HC Sparta Praha U20,Czech U20,36,0,4,4,79,1,10992
1999-00,Cornell Univ.,NCAA,31,8,16,24,22,,60904
1999-00,Djurgårdens IF,SHL,47,25,15,40,12,20,85
1999-00,Sweden (all),International,8,2,0,2,0,,85
1999-00,HK CSKA Moskva,Russia2,40,1,8,9,20,,9556
1999-00,Russia U20,WJC-20,7,1,1,2,0,3,9556
1999-00,Deerfield Academy,USHS-Prep,-,-,-,-,-,,60905
1999-00,Torpedo Yaroslavl-2,Russia3,38,5,9,14,58,,60906
1999-00,Torpedo Yaroslavl,Russia,28,2,5,7,16,,60906
1999-00,Brampton Battalion,OHL,54,1,0,1,59,-6,15112
1999-00,Boston College,NCAA,41,1,8,9,26,1,60909
1999-00,Twin City Vulcans,USHL,57,24,34,58,19,,10644
1999-00,Kelowna Rockets,WHL,66,9,6,15,96,-13,8535
1999-00,Univ. of Nebraska-Omaha,NCAA,42,3,26,29,56,,10220
1999-00,Lincoln Stars,USHL,56,25,30,55,85,,10503
1999-00,Northern Michigan Univ.,NCAA,35,2,14,16,64,,60914
1999-00,Michigan State Univ.,NCAA,40,8,20,28,26,0,8734
1999-00,Plymouth Whalers,OHL,63,3,5,8,102,18,17101
1999-00,Khimik Voskresensk,Russia2,10,0,0,0,2,,55438
1999-00,Khimik Voskresensk-2,Russia3,21,5,5,10,26,,55438
1999-00,Metallurg Novokuznetsk,Russia,10,2,3,5,0,,16744
1999-00,Metallurg Novokuznetsk-2,Russia3,9,7,4,11,18,,16744
1999-00,Russia U18,WJC-18,6,2,2,4,2,4,16744
1999-00,Lokomotiv Yaroslavl-2,Russia3,43,9,14,23,38,,12249
1999-00,Calgary Canucks,AJHL,53,3,14,17,100,,13414
1999-00,Barrie Colts,OHL,63,2,10,12,85,20,9449
1999-00,Barrie Colts,M-Cup,5,0,1,1,4,,9449
1999-00,MsHKM Zilina U20,Slovakia U20,31,1,9,10,60,,8068
1999-00,MsHK Zilina,Slovakia2,27,0,3,3,34,,8068
1999-00,HIFK,Liiga,46,6,8,14,51,21,2668
1999-00,HIFK,Euro HL,5,2,2,4,31,-1,2668
1999-00,EHC Kloten,NLA,40,6,3,9,28,,9638
1999-00,Kloten U20,Elite Jr. A,2,0,0,0,4,,9638
1999-00,Switzerland U18,WJC-18,7,5,6,11,2,3,9638
1999-00,Switzerland U20,WJC-20,7,2,4,6,2,-1,9638
1999-00,HPK,Liiga,53,17,28,45,76,13,2709
1999-00,Finland,WC,9,3,3,6,12,9,2709
1999-00,Choate Rosemary Hall,USHS-Prep,-,-,-,-,-,,16723
1999-00,Kristall Saratov,Russia2,2,1,0,1,0,,58017
1999-00,Kristall Saratov-2,Russia3,1,0,0,0,4,,58017
1999-00,Kazakhstan U20,WJC-20,7,4,1,5,43,-7,58017
1999-00,Saskatoon Blades,WHL,63,6,8,14,269,5,9056
1999-00,U.S. National U18 Team,NAHL,49,6,28,34,46,,7619
1999-00,USNTDP Juniors,USHL,8,0,0,0,2,,7619
1999-00,HC Plzen U20,Czech U20,29,6,8,14,69,9,60994
1999-00,HC Plzen,Czech,4,0,0,0,2,1,60994
1999-00,Czech Republic U18,WJC-18,5,0,0,0,2,1,60994
1999-00,MHC Martin,Slovakia2,8,1,5,6,4,,10635
1999-00,Slovakia U18,WJC-18,4,1,0,1,2,1,10635
1999-00,Calgary Hitmen,WHL,67,12,13,25,94,11,21101
1999-00,Univ. of New Hampshire,NCAA,30,3,7,10,61,1,9382
1999-00,USA U20,WJC-20,7,1,0,1,31,1,9382
1999-00,Oshawa Generals,OHL,59,34,53,87,74,3,14999
1999-00,Saint John Flames,AHL,2,0,0,0,0,-1,14999
1999-00,Grums IK,Allsvenskan,46,12,10,22,24,-14,102
1999-00,Brampton Battalion,OHL,63,5,27,32,108,-1,60997
1999-00,Clarkson Univ.,NCAA,34,8,10,18,54,,13559
1999-00,Fargo-Moorhead Ice Sharks,USHL,18,2,5,7,37,,12254
1999-00,Omaha Lancers,USHL,43,6,7,13,44,,12254
1999-00,Kamloops Blazers,WHL,68,5,6,11,243,8,55441
1999-00,HC Kladno U20,Czech U20,34,16,15,31,16,11,28514
1999-00,HC Kladno,Czech,21,3,2,5,6,-7,28514
1999-00,HC Kralupy nad Vltavou,Czech3,1,0,1,1,0,,28514
1999-00,HK Slany,Czech3,4,3,0,3,2,,28514
1999-00,Omaha Lancers,USHL,56,1,4,5,41,,43909
1999-00,Moose Jaw Warriors,WHL,55,0,5,5,62,-18,13406
1999-00,Cleveland Barons NAHL,NAHL,55,46,49,95,40,,18379
1999-00,Great Britain U20,WJC-20 C,4,4,5,9,4,4,18379
1999-00,Sault Ste. Marie Greyhounds,OHL,58,4,15,19,60,17,18378
1999-00,HC Vitkovice,Czech,47,7,5,12,12,-17,10870
1999-00,HC Dukla Jihlava,Czech2,1,0,0,0,0,-1,10870
1999-00,Czech Republic U20,WJC-20,7,2,1,3,6,3,10870
1999-00,Vernon Vipers,BCHL,58,31,37,68,88,,15121
1999-00,Oshawa Generals,OHL,58,22,36,58,98,-1,12761
1999-00,TPS U18,Jr. B SM-sarja,6,2,5,7,6,,3213
1999-00,TPS U20,Jr. A SM-liiga,35,10,7,17,32,,3213
1999-00,Finland U18,WJC-18,7,3,5,8,8,5,3213
1999-00,Molot-Prikamie Perm,Russia,37,5,5,10,20,,18377
1999-00,Russia U20,WJC-20,7,1,4,5,4,6,18377
1999-00,Thunder Bay Flyers,USHL,46,3,20,23,152,,11560
1999-00,Sarnia Sting,OHL,62,8,11,19,131,4,61168
1999-00,Västra Frölunda HC J20,SuperElit,36,16,25,41,82,,462
1999-00,Sweden U18,WJC-18,6,2,4,6,16,8,462
1999-00,Sweden U18 (all),International-Jr,17,3,6,9,20,,462
1999-00,Univ. of Maine,NCAA,31,0,5,5,22,5,12848
1999-00,Halifax Mooseheads,QMJHL,62,44,80,124,10,30,9526
1999-00,Canada U20,WJC-20,7,4,5,9,4,3,9526
1999-00,Halifax Mooseheads,M-Cup,4,1,6,7,2,,9526
1999-00,TPS U18,Jr. B SM-sarja,29,16,10,26,8,,3192
1999-00,TPS U20,Jr. A SM-liiga,9,2,1,3,6,,3192
1999-00,Finland U18,WJC-18,7,1,4,5,4,6,3192
1999-00,Green Bay Gamblers,USHL,49,19,50,69,58,,61172
1999-00,Colorado College,NCAA,29,4,5,9,30,,12019
1999-00,Västra Frölunda HC J20,SuperElit,35,45,21,66,30,,303
1999-00,Västra Frölunda HC,SHL,4,0,0,0,0,0,303
1999-00,CSKA Moskva,Russia2,10,2,1,3,2,,18376
1999-00,HC Ceske Budejovice,Czech,52,23,25,48,26,8,18375
1999-00,Slovakia,WC,9,3,1,4,2,5,18375
1999-00,Victoriaville Tigres,QMJHL,65,18,26,44,28,-14,8999
1999-00,Univ. of New Hampshire,NCAA,28,7,6,13,22,0,46603
1999-00,Lokomotiv Yaroslavl-2,Russia3,36,0,2,2,34,,18374
1999-00,Russia U18,WJC-18,6,0,2,2,0,5,18374
1999-00,Seattle Thunderbirds,WHL,65,1,9,10,120,-6,61176
1999-00,TPS,Liiga,54,10,10,20,73,11,3220
1999-00,TPS,Euro HL,5,0,0,0,4,0,3220
1999-00,Burnaby Bulldogs,BCHL,-,-,-,-,-,,8808
1999-00,Portland Winter Hawks,WHL,56,6,8,14,110,-30,8808
1999-00,HC Slovan Bratislava U20,Slovakia2,31,2,9,11,56,,18371
1999-00,HC Slovan Bratislava,Slovakia,6,0,0,0,2,,18371
1999-00,HKM Zvolen U20,Slovakia U20,41,6,8,14,11,,18350
1999-00,HKM Zvolen B,Slovakia2,9,1,0,1,12,-8,18350
1999-00,HKM Zvolen,Slovakia,7,0,0,0,0,0,18350
1999-00,Slovakia U18,WJC-18,6,0,1,1,12,-2,18350
1999-00,HPK U20,Jr. A SM-liiga,15,11,13,24,16,,2698
1999-00,HPK,Liiga,39,2,1,3,8,2,2698
1999-00,Finland U20,WJC-20,7,4,1,5,2,-2,2698
1999-00,Finland U20 (all),International-Jr,16,5,3,8,2,,2698
1999-00,Severstal Cherepovets-2,Russia3,30,23,10,33,36,,18348
1999-00,Russia U18,WJC-18,6,2,0,2,4,3,18348
1999-00,Cape Breton Screaming Eagles,QMJHL,44,26,28,54,82,2,12252
1999-00,Québec Remparts,QMJHL,2,3,1,4,0,2,12252
1999-00,Rouyn-Noranda Huskies,QMJHL,25,4,11,15,39,-12,12252
1999-00,Västerås IK J18,J18 Allsvenskan,5,1,3,4,20,,663
1999-00,Västerås IK J20,SuperElit,29,10,2,12,121,,663
1999-00,Montréal Rocket,QMJHL,4,2,1,3,0,1,15241
1999-00,North Bay Centennials,OHL,48,17,25,42,26,0,3236
1999-00,HC Trinec,Czech,52,7,24,31,42,5,3674
1999-00,Slovakia,WC,7,2,4,6,6,0,3674
1999-00,Essamika/Juniors,Latvia,3,0,1,1,2,,7420
1999-00,Essamika/Juniors,EEHL B,2,4,4,8,0,,7420
